TIME_STAMP,FORECAST_VALUE,MEASURED_VALUE
2023-01-21,00:00,6004.98,5998
2023-01-21,01:00,5649.83,5794
2023-01-21,02:00,5257.15,5353
2023-01-21,03:00,4973.92,5044
2023-01-21,04:00,4815.64,4940
2023-01-21,05:00,4792.02,4842
2023-01-21,06:00,4917.75,4930
2023-01-21,07:00,5139.29,5154
2023-01-21,08:00,5433.54,5468
2023-01-21,09:00,5796.3,5812
2023-01-21,10:00,6017.32,6039
2023-01-21,11:00,6168.25,6167
2023-01-21,12:00,6171.66,6176
2023-01-21,13:00,6125.99,6082
2023-01-21,14:00,5997.63,5869
2023-01-21,15:00,5978.73,5892
2023-01-21,16:00,6259.86,6077
2023-01-21,17:00,6469.07,6337
2023-01-21,18:00,6533.9,6302
2023-01-21,19:00,6526.03,6306
2023-01-21,20:00,6476.15,6340
2023-01-21,21:00,6360.66,6262
2023-01-21,22:00,6297.92,6363
2023-01-21,23:00,6159.33,6174
